No.,Order#,Date,Price,Product Title
1,250-3035411-1972641,"November 30, 2024","¥1,309","Pokemon Card Game Scarlet & Violet Start Deck Generations Dialga ex..., +1 more"
2,250-6177493-0811810,"November 30, 2024","¥13,868","Putter Mat Kobo Body Power Realistic, 2-Piece Set, Swing Practice, ..."
3,250-6200777-2441459,"November 29, 2024","¥21,000","Filco Majestouch Xacro M10SP English Sequence, 72 Keys, CHERRY MX, ..."
4,250-6888164-0491024,"November 28, 2024",¥129,"Pokemon Card Game Scarlet & Violet ex Start Deck Evil Herger, +2 more"
5,250-6732062-6722208,"November 28, 2024",¥0,Pokemon Card Game Scarlet & Violet ex Start Deck Fire Victini
6,503-9984006-3407840,"November 27, 2024","¥110,589","Apple MacBook Air M2 2022 (13 inch, 8 GB RAM, 256 GB SSD, 8 Core CP..."
7,503-7207454-2819826,"November 14, 2024","¥5,294",【純正品】ブルーエア 空気清浄機フィルター Classic 200シリーズ(290i / 280i / 205 / 250E / 27...
8,249-3790035-9819829,"November 12, 2024","¥18,179","Iris Ohyama AZ-IC-FAC2-B Futon Cleaner, Black Dust Mites, Sitting H..., +1 more"
9,249-0073680-0187803,"November 12, 2024","¥1,436","Quickle Floor Wiper, Black Color, Cleaning Tool, Main Body, Smooth ..."
10,250-5751425-3102202,"December 3, 2024","¥7,347","誕生日 飾り付け バルーンセット女の子 男の子 誕生日 バースデー 飾りつけ ハッピー バースデー HAPPY BIRTHDAY キャ..., +2 more"
11,503-0213696-0587034,"September 13, 2024","¥4,198",森永 はぐくみ エコらくパック つめかえ用 1600g (400g×2袋×2箱) 景品付き【入れかえタイプの粉ミルク】[新生児 赤ちゃ...
12,249-9857403-2719868,"September 13, 2024","¥1,453",Musetti for De'Longhi (デロンギ) コーヒー豆 エボリューション MB250-EV ムセッティ ホールビーン 2...
13,503-9816833-6383841,"October 5, 2024","¥1,292",Musetti(ムセッティー) for De'Longhi (デロンギ) コーヒー豆 クレミッシモ MB250-CR ムセッティ ホー...
14,503-3832432-5050237,"October 26, 2024",¥96,フィニッシュライン ドライ バイク ルブリカント 240ml
15,250-4471624-4220656,"October 13, 2024","¥1,538",Musetti for De'Longhi (デロンギ) コーヒー豆 エボリューション MB250-EV ムセッティ ホールビーン 2...
16,249-9986881-8565444,"November 4, 2024","¥1,921",ThinkFun Minecraft Magnetic Travel Puzzle 31521 with Japanese Instr...
17,249-6476271-3096610,"November 12, 2024",¥470,"Panasonic CR1632 Coin Shaped Lithium Battery, Set of 2"
18,249-1997803-8256604,"November 12, 2024","¥1,469","Jessfar Marker Cones, Set of 10, 25, 50 Pieces, Color Cones, Made o..."
19,249-9238688-9724609,"November 12, 2024","¥1,098","Panasonic CR2032 Coin Battery, Rose (12 Pieces)"
